customer_id,customer_name,email,city,state,signup_date
1,Siddharth Singh_1,siddharth.singh_1@gmail.com,Kolkata,WB,17-03-2022
2,Sameer Tiwari_2,sameer.tiwari_2@gmail.com,Chennai,TN,18-12-2021
3,Rajat Ghosh_3,rajat.ghosh_3@gmail.com,Bangalore,KA,12-04-2021
4,Varun Iyer_4,varun.iyer_4@gmail.com,Delhi,DL,13-03-2024
5,Sunil Sawant_5,sunil.sawant_5@gmail.com,Kolkata,WB,04-02-2022
6,Mahesh Mishra_6,mahesh.mishra_6@gmail.com,Chennai,TN,25-03-2021
7,Aditya Bansal_7,aditya.bansal_7@gmail.com,Kolkata,WB,21-02-2021
8,Rajat Mittal_8,rajat.mittal_8@gmail.com,Kolkata,WB,17-11-2022
9,Naveen Bhardwaj_9,naveen.bhardwaj_9@gmail.com,Bangalore,KA,19-03-2023
10,Pradeep Chaudhary_10,pradeep.chaudhary_10@gmail.com,Pune,MH,31-05-2023
11,Ankit Yadav_11,ankit.yadav_11@gmail.com,Delhi,DL,21-06-2024
12,Harish Goenka_12,harish.goenka_12@gmail.com,Chennai,TN,05-01-2022
13,Rajiv Tripathi_13,rajiv.tripathi_13@gmail.com,Mumbai,MH,24-11-2023
14,Kunal Chaudhary_14,kunal.chaudhary_14@gmail.com,Kolkata,WB,16-10-2023
15,Mahesh Mittal_15,mahesh.mittal_15@gmail.com,Pune,MH,11-04-2023
16,Sanjay Rao_16,sanjay.rao_16@gmail.com,Kolkata,WB,05-06-2022
17,Sachin Kumar_17,sachin.kumar_17@gmail.com,Delhi,DL,20-08-2021
18,Mukesh Sen_18,mukesh.sen_18@gmail.com,Hyderabad,TS,28-02-2023
19,Aditya Tiwari_19,aditya.tiwari_19@gmail.com,Hyderabad,TS,15-04-2024
20,Ravi More_20,ravi.more_20@gmail.com,Pune,MH,13-12-2023
21,Shubham Kapoor_21,shubham.kapoor_21@gmail.com,Mumbai,MH,11-05-2024
22,Abhishek Naidu_22,abhishek.naidu_22@gmail.com,Hyderabad,TS,29-03-2024
23,Shubham Tiwari_23,shubham.tiwari_23@gmail.com,Bangalore,KA,13-07-2023
24,Rakesh Reddy_24,rakesh.reddy_24@gmail.com,Bangalore,KA,19-03-2022
25,Ajay Iyer_25,ajay.iyer_25@gmail.com,Mumbai,MH,20-04-2021
26,Mukesh Ghosh_26,mukesh.ghosh_26@gmail.com,Delhi,DL,02-07-2024
27,Aakash Saxena_27,aakash.saxena_27@gmail.com,Bangalore,KA,13-05-2022
28,Alok Shetty_28,alok.shetty_28@gmail.com,Delhi,DL,02-10-2023
29,Kunal _29,kunal._29@gmail.com,Delhi,DL,11-06-2023
30,Pradeep Chaudhary_30,pradeep.chaudhary_30@gmail.com,Pune,MH,02-01-2023
31,Suresh Rana_31,suresh.rana_31@gmail.com,Chennai,TN,24-05-2024
32,Anurag Gupta_32,anurag.gupta_32@gmail.com,Pune,MH,03-09-2023
33,Tarun Ghosh_33,tarun.ghosh_33@gmail.com,Kolkata,WB,19-06-2021
34,Siddharth Mukherjee_34,siddharth.mukherjee_34@gmail.com,Kolkata,WB,07-10-2024
35,Shubham Kapoor_35,shubham.kapoor_35@gmail.com,Pune,MH,13-12-2021
36,Kunal Malhotra_36,kunal.malhotra_36@gmail.com,Pune,MH,03-10-2023
37,Sachin Reddy_37,sachin.reddy_37@gmail.com,Mumbai,MH,04-08-2023
38,Siddharth Mishra_38,siddharth.mishra_38@gmail.com,Pune,MH,23-04-2024
39,Tarun Sen_39,tarun.sen_39@gmail.com,Mumbai,MH,25-09-2022
40,Naresh Kapoor_40,naresh.kapoor_40@gmail.com,Chennai,TN,12-04-2024
41,Rakesh More_41,rakesh.more_41@gmail.com,Mumbai,MH,02-12-2022
42,Vikas Sawant_42,vikas.sawant_42@gmail.com,Delhi,DL,26-07-2022
43,Kapil Kulkarni_43,kapil.kulkarni_43@gmail.com,Delhi,DL,14-09-2024
44,Ashish Thakur_44,ashish.thakur_44@gmail.com,Pune,MH,12-05-2023
45,Shubham Sen_45,shubham.sen_45@gmail.com,Mumbai,MH,15-11-2024
46,Ankit Singh_46,ankit.singh_46@gmail.com,Hyderabad,TS,11-11-2024
47,Arjun Iyer_47,arjun.iyer_47@gmail.com,Hyderabad,TS,21-08-2022
48,Rakesh Tiwari_48,rakesh.tiwari_48@gmail.com,Mumbai,MH,23-02-2023
49,Yogesh Mukherjee_49,yogesh.mukherjee_49@gmail.com,Kolkata,WB,26-05-2021
50,Rakesh Tiwari_50,rakesh.tiwari_50@gmail.com,Pune,MH,15-11-2024
51,Sachin Bhardwaj_51,sachin.bhardwaj_51@gmail.com,Kolkata,WB,30-09-2024
52,Aman Mishra_52,aman.mishra_52@gmail.com,Chennai,TN,18-08-2023
53,Rajiv Naik_53,rajiv.naik_53@gmail.com,Mumbai,MH,06-06-2023
54, Mehta_54,.mehta_54@gmail.com,Bangalore,KA,18-10-2024
55,Mahesh Saxena_55,mahesh.saxena_55@gmail.com,Mumbai,MH,21-01-2024
56,Manish More_56,manish.more_56@gmail.com,Kolkata,WB,25-09-2024
57,Karan Chopra_57,karan.chopra_57@gmail.com,Delhi,DL,20-11-2021
58,Ajay _58,ajay._58@gmail.com,Bangalore,KA,15-03-2022
59,Rahul Chaudhary_59,rahul.chaudhary_59@gmail.com,Bangalore,KA,01-12-2024
60,Rajiv Mehta_60,rajiv.mehta_60@gmail.com,Mumbai,MH,25-05-2024
61,Pradeep Yadav_61,pradeep.yadav_61@gmail.com,Pune,MH,12-09-2023
62,Suresh Mishra_62,suresh.mishra_62@gmail.com,Kolkata,WB,14-08-2021
63,Hemant Chopra_63,hemant.chopra_63@gmail.com,Hyderabad,TS,08-11-2023
64,Karan Mukherjee_64,karan.mukherjee_64@gmail.com,Chennai,TN,27-03-2024
65,Hemant Mukherjee_65,hemant.mukherjee_65@gmail.com,Pune,MH,27-07-2022
66,Ajay Yadav_66,ajay.yadav_66@gmail.com,Kolkata,WB,01-03-2021
67,Aman Chowdhury_67,aman.chowdhury_67@gmail.com,Chennai,TN,25-04-2021
68,Aakash Reddy_68,aakash.reddy_68@gmail.com,Chennai,TN,31-08-2021
69,Arjun Dwivedi_69,arjun.dwivedi_69@gmail.com,Mumbai,MH,10-08-2024
70,Naresh Yadav_70,naresh.yadav_70@gmail.com,Kolkata,WB,26-09-2022
71,Yogesh Banerjee_71,yogesh.banerjee_71@gmail.com,Bangalore,KA,25-02-2022
72,Pradeep Shetty_72,pradeep.shetty_72@gmail.com,Pune,MH,26-08-2023
73,Deepak Rana_73,deepak.rana_73@gmail.com,Chennai,TN,26-11-2024
74,Harish Bhardwaj_74,harish.bhardwaj_74@gmail.com,Mumbai,MH,21-07-2024
75,Hemant Patel_75,hemant.patel_75@gmail.com,Hyderabad,TS,28-12-2024
76,Anurag Deshpande_76,anurag.deshpande_76@gmail.com,Mumbai,MH,08-03-2021
77,Kapil Malhotra_77,kapil.malhotra_77@gmail.com,Chennai,TN,09-04-2021
78,Yogesh Das_78,yogesh.das_78@gmail.com,Chennai,TN,17-09-2022
79,Arjun Kapoor_79,arjun.kapoor_79@gmail.com,Delhi,DL,08-02-2022
80,Naresh Singh_80,naresh.singh_80@gmail.com,Mumbai,MH,02-10-2022
81,ayush Tripathi_81,ayush.tripathi_81@gmail.com,Pune,MH,14-06-2023
82, Rao_82,.rao_82@gmail.com,Chennai,TN,01-02-2021
83,Manoj Tiwari_83,manoj.tiwari_83@gmail.com,Chennai,TN,03-02-2023
84,Sachin Kumar_84,sachin.kumar_84@gmail.com,Mumbai,MH,24-09-2021
85,Siddharth Deshpande_85,siddharth.deshpande_85@gmail.com,Delhi,DL,02-11-2022
86,Kunal Verma_86,kunal.verma_86@gmail.com,Mumbai,MH,29-03-2024
87,Deepak Banerjee_87,deepak.banerjee_87@gmail.com,Kolkata,WB,15-10-2021
88,Siddharth Sawant_88,siddharth.sawant_88@gmail.com,Kolkata,WB,23-08-2021
89,Rohit Ghosh_89,rohit.ghosh_89@gmail.com,Kolkata,WB,20-10-2023
90,Harish Kulkarni_90,harish.kulkarni_90@gmail.com,Pune,MH,12-11-2022
91,Gaurav Mishra_91,gaurav.mishra_91@gmail.com,Kolkata,WB,25-02-2021
92,Arjun Thakur_92,arjun.thakur_92@gmail.com,Delhi,DL,12-07-2022
93,Vikas Banerjee_93,vikas.banerjee_93@gmail.com,Kolkata,WB,07-01-2021
94,Dinesh Goenka_94,dinesh.goenka_94@gmail.com,Chennai,TN,21-06-2021
95,Deepak Verma_95,deepak.verma_95@gmail.com,Kolkata,WB,10-10-2023
96,Karan Ghosh_96,karan.ghosh_96@gmail.com,Bangalore,KA,12-06-2022
97,Sanjay Rana_97,sanjay.rana_97@gmail.com,Pune,MH,09-02-2021
98,Arjun Tiwari_98,arjun.tiwari_98@gmail.com,Hyderabad,TS,22-05-2022
99,Arjun Chaudhary_99,arjun.chaudhary_99@gmail.com,Kolkata,WB,12-08-2022
100,Varun Saxena_100,varun.saxena_100@gmail.com,Kolkata,WB,27-06-2021
101,Pankaj Mehta_101,pankaj.mehta_101@gmail.com,Pune,MH,19-05-2023
102,Gaurav Goenka_102,gaurav.goenka_102@gmail.com,Kolkata,WB,25-01-2022
103,Ankit Arora_103,ankit.arora_103@gmail.com,Chennai,TN,07-12-2024
104,Vikas Mittal_104,vikas.mittal_104@gmail.com,Kolkata,WB,27-10-2022
105,Deepak Iyer_105,deepak.iyer_105@gmail.com,Mumbai,MH,29-05-2024
106,Rajat Deshpande_106,rajat.deshpande_106@gmail.com,Pune,MH,05-07-2022
107,Saurabh Thakur_107,saurabh.thakur_107@gmail.com,Chennai,TN,10-12-2021
108,Pankaj Goyal_108,pankaj.goyal_108@gmail.com,Pune,MH,31-07-2022
109,Rakesh More_109,rakesh.more_109@gmail.com,Hyderabad,TS,29-02-2024
110,Vikas Bansal_110,vikas.bansal_110@gmail.com,Chennai,TN,01-06-2022
111,Rahul Rana_111,rahul.rana_111@gmail.com,Bangalore,KA,08-10-2024
112,Vinod Sawant_112,vinod.sawant_112@gmail.com,Bangalore,KA,15-03-2021
113,Varun Kulkarni_113,varun.kulkarni_113@gmail.com,Pune,MH,13-05-2024
114,Shubham Kumar_114,shubham.kumar_114@gmail.com,Mumbai,MH,11-08-2023
115,Mohit Bansal_115,mohit.bansal_115@gmail.com,Pune,MH,25-01-2023
116,Naresh Kapoor_116,naresh.kapoor_116@gmail.com,Hyderabad,TS,29-03-2023
117,Vinod Pandey_117,vinod.pandey_117@gmail.com,Bangalore,KA,23-12-2022
118,Vikas Kulkarni_118,vikas.kulkarni_118@gmail.com,Bangalore,KA,10-03-2022
119,Anurag Bansal_119,anurag.bansal_119@gmail.com,Hyderabad,TS,08-03-2022
120,Siddharth Naidu_120,siddharth.naidu_120@gmail.com,Kolkata,WB,29-12-2021
121,Manoj Sawant_121,manoj.sawant_121@gmail.com,Hyderabad,TS,22-04-2021
122,Aditya Thakur_122,aditya.thakur_122@gmail.com,Delhi,DL,23-01-2023
